Product,Kcal,Protein_g,Fat_g
COTTONSEED,253.0,17.3,17.9
LINSEED,498.0,18.0,34.0
OILSEEDS NES,387.0,14.7,31.7
FLOUR/MEAL OF OILSEEDS,393.0,37.2,15.6
CABBAGES,19.0,1.0,0.1
ARTICHOKES,20.0,1.1,0.1
ASPARAGUS,12.0,1.6,0.1
LETTUCE,12.0,1.1,0.2
SPINACH,16.0,2.1,0.3
CASSAVA LEAVES,53.0,5.8,1.1
TOMATOES,17.0,0.8,0.2
TOMATO JUICE,17.0,0.8,0.1
TOMATO JUICE CONCENTRATED,76.0,3.4,0.4
TOMATO PASTE,84.0,3.8,0.9
TOMATOES PEELED,19.0,0.9,0.2
CAULIFLOWER,9.0,0.8,0.1
"PUMPKINS, SQUASH, GOURDS",19.0,0.9,0.1
"CUCUMBERS, GHERINKS",13.0,0.5,0.1
"ONIONS,SHALLOTS, GREEN",24.0,1.7,0.1
"ONIONS, DRY",31.0,1.1,0.2
GARLIC,130.0,5.5,0.4
LEEKS,37.0,0.7,0.1
"BEANS, GREEN",50.0,3.0,0.4
"PEAS, GREEN",31.0,2.1,0.2
"BROAD BEANS,GREEN",23.0,2.3,0.1
STRING BEANS,27.0,1.6,0.1
CARROTS,38.0,0.9,0.2
OKRA,31.0,1.6,0.3
GREEN CORN,56.0,2.1,0.8
SWEET CORN FROZEN,54.0,1.8,0.4
SWEET CORN PREPARED,77.0,2.3,0.6
MUSHROOMS,24.0,2.0,0.4
MUSHROOMS CANNED,24.0,1.9,0.3
MUSHROOMS DRIED,296.0,9.6,1.0
VEGETABLES NES FRESH,22.0,1.4,0.2
VEGETABLES NES DRIED,176.0,11.2,1.6
VEGETABLES NES CANNED,36.0,1.4,0.3
VEGETABLES NES JUICE,19.0,0.6,0.1
VEGETABLES DEHYDRATED,341.0,6.6,1.3
VEGETABLES PREPARED BY VINEGAR,29.0,1.4,1.3
VEGETABLES PREPARED NES,38.0,2.1,0.3
VEGETABLES FROZEN,71.0,3.3,0.5
VEGETABLES PROVISIONALLY PRESERVED,65.0,3.3,0.3
VEGETABLES PREPARED OR PRES.FROZEN,54.0,2.4,0.4
HOMOGENIZED VEGETABLES PREPARED,41.0,1.2,0.5
BANANAS,60.0,0.7,0.3
PLANTAINS,75.0,0.8,0.3
ORANGES,34.0,0.7,0.1
ORANGE JUICE,42.0,0.6,0.1
ORANGE JUICE CONCENTRATED,159.0,2.4,0.2
"TANGERINES, MANDARINES, CLEMENTINES",32.0,0.5,0.1
TANGERINES JUICE,43.0,0.5,0.2
LEMONS AND LIMES,15.0,0.6,0.2
LEMON JUICE,22.0,0.5,0.3
LEMON JUICE CONCENTRATED,116.0,2.3,0.9
GRAPEFRUIT AND POMELO,16.0,0.3,0.1
GRAPEFRUIT JUICE,39.0,0.5,0.1
GRAPEFRUIT JUICE CONCENTRATED,146.0,2.0,0.5
CITRUS FRUIT NES,26.0,0.5,0.2
CITRUS FRUIT NES JUICE,47.0,0.6,0.2
APPLES JUICE,47.0,0.1,0.1
APPLES JUICE CONCENTRATED,166.0,0.5,0.4
PEARS,54.0,0.4,0.4
QUINCES,35.0,0.2,0.1
APRICOTS,45.0,1.3,0.4
SOUR CHERRY,45.0,0.9,0.3
CHERRIES,65.0,1.1,0.9
PEACHES AND NECTARINES,33.0,0.5,0.1
PLUMS,52.0,0.7,0.6
PLUM JUICE,71.0,0.6,0.0
PLUM JUICE CONCENTRATED,215.0,2.0,0.1
STONE FRUIT NES,52.0,0.9,0.3
POME FRUIT NES,48.0,0.4,0.3
CAROBS,111.0,1.6,0.5
STRAWBERRIES,28.0,0.6,0.4
RASPBERRIES,47.0,0.9,0.5
GOOSEBERRIES,44.0,0.9,0.6
CURRANTS,59.0,1.4,0.3
BLUEBERRIES,55.0,0.7,0.4
CRANBERRIES,47.0,0.4,0.2
BERRIES NES,49.0,1.0,0.7
